右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg3
34.6988,135.4759,34.696,135.4732,1302.445778
34.6988,135.4786,34.696,135.4759,1292.683208
34.6988,135.4814,34.696,135.4786,1297.917226
34.6988,135.4841,34.696,135.4813,1314.673517
34.6988,135.4868,34.696,135.4841,1324.836313
34.6988,135.4896,34.696,135.4868,1350.419397
34.6988,135.4923,34.696,135.4895,1366.578022
34.6989,135.495,34.6961,135.4923,1378.703631
34.6989,135.4977,34.6961,135.495,1449.953521
34.6989,135.5005,34.6961,135.4977,1487.726889
34.6989,135.5032,34.6961,135.5005,1648.343166
34.6989,135.5059,34.6961,135.5032,1738.680085
34.6989,135.5087,34.6961,135.5059,3849.404469
34.6992,135.5796,34.6964,135.5769,4850.410878
34.6992,135.5824,34.6964,135.5796,3992.015795
34.6992,135.5851,34.6964,135.5823,2466.104995
34.6992,135.5878,34.6964,135.5851,1932.427189
34.6992,135.5905,34.6964,135.5878,1668.059879
34.6992,135.5933,34.6964,135.5905,1528.016089
34.6962,135.4131,34.6934,135.4104,1481.571749
34.6962,135.4159,34.6934,135.4131,1473.809556
34.6963,135.4186,34.6935,135.4159,1463.667736
34.6963,135.4213,34.6935,135.4186,1455.508235
34.6963,135.4241,34.6935,135.4213,1412.950742
34.6963,135.4268,34.6935,135.424,1400.603841
34.6963,135.4295,34.6935,135.4268,1387.094683
34.6963,135.4323,34.6935,135.4295,1389.93689
34.6963,135.435,34.6935,135.4322,1401.092895
34.6963,135.4377,34.6936,135.435,1404.435808
34.6964,135.4404,34.6936,135.4377,1398.109589
34.6964,135.4432,34.6936,135.4404,1395.199056
34.6964,135.4459,34.6936,135.4432,1396.695957
34.6964,135.4486,34.6936,135.4459,1396.721334
34.6964,135.4514,34.6936,135.4486,1399.978435
34.6964,135.4541,34.6936,135.4513,1377.089136
34.6964,135.4568,34.6936,135.4541,1361.805204
34.6964,135.4595,34.6937,135.4568,1335.337067
34.6965,135.4623,34.6937,135.4595,1312.872441
34.6965,135.465,34.6937,135.4623,1297.227016
34.6965,135.4677,34.6937,135.465,1290.643188
34.6965,135.4705,34.6937,135.4677,1287.554044
34.6965,135.4732,34.6937,135.4704,1274.145719
34.6965,135.4759,34.6937,135.4732,1269.812432
34.6965,135.4786,34.6937,135.4759,1269.031102
34.6965,135.4814,34.6937,135.4786,1276.711225
34.6966,135.4841,34.6938,135.4814,1283.683916
34.6966,135.4868,34.6938,135.4841,1295.798921
34.6966,135.4896,34.6938,135.4868,1317.922943
34.6966,135.4923,34.6938,135.4895,1338.960692
34.6966,135.495,34.6938,135.4923,1371.934436
34.6966,135.4978,34.6938,135.495,1446.318346
34.6966,135.5005,34.6938,135.4977,1477.978187
34.6966,135.5032,34.6938,135.5005,1600.183082
34.6966,135.5059,34.6938,135.5032,1653.758509
34.6967,135.5087,34.6939,135.5059,3577.192554
34.6969,135.5796,34.6941,135.5769,4850.410878
34.6969,135.5824,34.6941,135.5796,4040.128454
34.6969,135.5851,34.6941,135.5823,2627.27624
34.6969,135.5878,34.6942,135.5851,2036.957474
34.697,135.5906,34.6942,135.5878,1725.353146
34.694,135.4132,34.6912,135.4104,1453.457136
34.694,135.4159,34.6912,135.4131,1440.884239
34.694,135.4186,34.6912,135.4159,1446.964755
34.694,135.4214,34.6912,135.4186,1456.007595
34.694,135.4241,34.6912,135.4213,1429.962832
34.694,135.4268,34.6912,135.4241,1409.508884
34.6941,135.4295,34.6913,135.4268,1377.775841
34.6941,135.4323,34.6913,135.4295,1377.230981
34.6941,135.435,34.6913,135.4322,1382.261208
34.6941,135.4377,34.6913,135.435,1392.228275
