原点(経度),原点(緯度),メッシュあたり導入P_MJ/y
135.5481507,34.71118977,397637.9097
135.5508805,34.71119982,352552.6763
135.5536103,34.71120981,466452.0205
135.5563401,34.71121974,300939.7981
135.5590699,34.71122961,177660.3287
135.5617997,34.71123942,121851.2229
135.5645295,34.71124916,89534.68042
135.5672593,34.71125885,115808.7155
135.5699891,34.71126847,-20042.06979
135.5727189,34.71127804,-2629.88521
135.5781786,34.71129701,-66.55072562
135.5809084,34.71130641,1168.707896
135.5836382,34.71131574,88348.17769
135.586368,34.71132502,1646293.07
135.5890978,34.71133423,1370100.728
135.5918276,34.71134338,11111.45268
135.5945574,34.71135247,88262.14669
135.5972872,34.71136149,822339.273
135.600017,34.71137046,24292.0238
135.4335157,34.70845828,6464259.176
135.4362453,34.70847092,14062712.01
135.4389749,34.70848348,17871483.63
135.4417046,34.70849598,15437107.17
135.4444342,34.70850842,12895127.96
135.4471638,34.70852079,12006800.55
135.4498935,34.70853311,8295988.631
135.4526231,34.70854536,12028211.51
135.4553528,34.70855754,14659379.42
135.4580824,34.70856966,13993132.12
135.4608121,34.70858172,14711569.34
135.4635418,34.70859372,17773635.69
135.4662715,34.70860565,15868575.76
135.4690012,34.70861751,16357510.76
135.4717309,34.70862932,11590808.5
135.4744606,34.70864107,15796841.81
135.4771903,34.70865277,11862607.48
135.4799199,34.70866442,1153383.02
135.4908387,34.70871042,862855.0258
135.4935684,34.70872178,11166331.48
135.4962981,34.70873308,15338554.37
135.4990278,34.70874432,11482664.7
135.5017575,34.70875552,8387991.793
135.5044872,34.70876667,4276989.431
135.5072169,34.70877777,2319126.787
135.5099466,34.7087888,2179224.486
135.5126764,34.70879977,2176116.533
135.5154061,34.70881067,2323117.66
135.5181359,34.70882151,1517451.728
135.5208656,34.70883229,2077696.878
135.5235953,34.708843,254212.3434
135.5263251,34.70885362,2028685.954
135.5290548,34.70886414,2277134.923
135.5317846,34.70887459,1369191.321
135.5345144,34.70888499,1086981.564
135.5372441,34.70889532,896093.6954
135.5399739,34.70890561,854703.0627
135.5427036,34.70891584,671952.9477
135.5454333,34.708926,511746.2378
135.548163,34.70893611,342653.7158
135.5508927,34.70894615,259165.2853
135.5536225,34.70895614,199669.098
135.5563522,34.70896607,148305.9556
135.5590819,34.70897594,133274.3763
135.5618116,34.70898575,85174.76807
135.5645414,34.70899549,70155.006
135.5672711,34.70900518,105466.378
135.5700008,34.7090148,-70267.74303
135.57819,34.70904333,348.5299047
135.5809198,34.70905273,14393.84694
135.5836495,34.70906207,135725.0983
135.5863792,34.70907134,2174606.036
135.589109,34.70908056,1650110.072
135.5918387,34.7090897,5167977.085
135.5945684,34.70909879,4048531.114
135.5972981,34.70910782,8804842.407
135.6000279,34.70911678,109094.0859
135.4308016,34.70619197,4461341.806
135.4335311,34.70620466,16900120.91
135.4362607,34.7062173,14897952.47
135.4389902,34.70622987,11373583.4
135.4417198,34.70624237,3704240.451
135.4444493,34.70625481,4235704.427
135.4471789,34.70626719,7914863.172
135.4499084,34.7062795,9519879.123
135.452638,34.70629175,16691411.34
135.4553676,34.70630394,17821437.08
135.4580971,34.70631606,13654611.82
135.4608267,34.70632813,18349848.15
135.4635563,34.70634012,19019084.86
135.4662859,34.70635205,17850449.59
135.4690156,34.70636392,17587531.47
135.4717452,34.70637572,15406690.25
135.4744748,34.70638747,5657615.126
135.4772045,34.70639917,52022.3571
135.4881229,34.70644541,3768877.898
135.4908525,34.70645682,12579466.04
135.4935822,34.70646818,12131946.64
135.4963118,34.70647948,9018086.021
135.4990414,34.70649072,11973231.58
135.501771,34.70650192,11086475.89
135.5045007,34.70651306,5731494.698
135.5072303,34.70652415,2726717.951
135.50996,34.70653518,2221084.24
135.5126897,34.70654614,2038356.873
135.5154193,34.70655703,2569559.828
135.518149,34.70656786,1891049.036
135.5208787,34.70657863,1231195.492
135.5236083,34.70658933,1344744.55
135.526338,34.70659994,2111998.794
135.5290677,34.70661046,1843739.962
135.5317974,34.70662091,1345209.352
135.5345271,34.70663131,1064598.488
135.5372568,34.70664164,982206.3902
135.5399864,34.70665193,685270.9797
135.5427161,34.70666216,474454.0982
135.5454457,34.70667233,350152.0628
135.5481753,34.70668244,178651.894
135.550905,34.70669249,184722.0882
135.5536346,34.70670248,296668.947
135.5563643,34.7067124,199460.0303
135.5590939,34.70672227,131983.7083
135.5618236,34.70673208,103683.1091
135.5645532,34.70674182,127285.2077
135.5672829,34.70675151,127529.7248
135.5700125,34.70676113,-75310.70463
135.5727422,34.70677069,-2397.135991
135.5782015,34.70678965,41943.67246
135.5809312,34.70679905,52792.63881
