右上経度,右上緯度,左下経度,左下緯度,メッシュあたり導入P_MJ/y
135.5386,34.7213,135.5358,34.719,1306544.599
135.5413,34.7213,135.5385,34.719,1260211.143
135.544,34.7213,135.5413,34.7191,1124951.43
135.5468,34.7213,135.544,34.7191,906100.7581
135.5495,34.7213,135.5467,34.7191,795728.6089
135.5522,34.7213,135.5494,34.7191,419084.7348
135.5549,34.7214,135.5522,34.7191,378657.1003
135.5577,34.7214,135.5549,34.7191,287640.0744
135.5604,34.7214,135.5576,34.7191,133107.4713
135.5631,34.7214,135.5604,34.7191,15472.34175
135.5659,34.7214,135.5631,34.7191,-8418.874762
135.5686,34.7214,135.5658,34.7191,27090.7052
135.585,34.7215,135.5822,34.7192,6326.001573
135.5877,34.7215,135.5849,34.7192,99603.19252
135.4512,34.7187,135.4484,34.7164,331906.8606
135.454,34.7187,135.4512,34.7164,3939657.916
135.4567,34.7187,135.4539,34.7164,16070670.3
135.4594,34.7187,135.4566,34.7165,16087557.47
135.4621,34.7187,135.4594,34.7165,11771118.5
135.4649,34.7187,135.4621,34.7165,16798159.88
135.4676,34.7187,135.4648,34.7165,11737979.64
135.4703,34.7188,135.4676,34.7165,18486623.08
135.4731,34.7188,135.4703,34.7165,17789638.59
135.4758,34.7188,135.473,34.7165,19190478.11
135.4785,34.7188,135.4757,34.7165,17043463.56
135.4812,34.7188,135.4785,34.7166,16789293.04
135.484,34.7188,135.4812,34.7166,15553313.15
135.4867,34.7188,135.4839,34.7166,13348319.66
135.4894,34.7188,135.4867,34.7166,14287549.66
135.4922,34.7189,135.4894,34.7166,14424302.45
135.4949,34.7189,135.4921,34.7166,7654858.15
135.4976,34.7189,135.4949,34.7166,1208480.763
135.5195,34.719,135.5167,34.7167,175819.962
135.5222,34.719,135.5194,34.7167,960855.4018
135.5249,34.719,135.5222,34.7167,1508504.169
135.5277,34.719,135.5249,34.7167,1436193.657
135.5304,34.719,135.5276,34.7168,1151417.098
135.5331,34.719,135.5303,34.7168,1146481.673
135.5359,34.719,135.5331,34.7168,884171.7814
135.5386,34.719,135.5358,34.7168,1045824.469
135.5413,34.719,135.5385,34.7168,1044361.01
135.544,34.7191,135.5413,34.7168,1121423.216
135.5468,34.7191,135.544,34.7168,1200714.985
135.5495,34.7191,135.5467,34.7168,800148.3245
135.5522,34.7191,135.5495,34.7168,381485.4964
135.555,34.7191,135.5522,34.7168,344575.0395
135.5577,34.7191,135.5549,34.7169,258130.4502
135.5604,34.7191,135.5576,34.7169,174983.23
135.5632,34.7191,135.5604,34.7169,31710.25312
135.5659,34.7191,135.5631,34.7169,23101.25931
135.5686,34.7191,135.5658,34.7169,65082.32396
135.585,34.7192,135.5822,34.717,19318.63557
135.5877,34.7192,135.5849,34.717,940043.8665
135.5905,34.7192,135.5877,34.717,1027867.598
135.4512,34.7164,135.4485,34.7142,8033208.489
135.454,34.7164,135.4512,34.7142,8059371.528
135.4567,34.7164,135.4539,34.7142,10123643.48
135.4594,34.7165,135.4567,34.7142,15437879.84
135.4622,34.7165,135.4594,34.7142,14920421.32
135.4649,34.7165,135.4621,34.7142,18084561.84
135.4676,34.7165,135.4648,34.7142,13482975.9
135.4703,34.7165,135.4676,34.7143,17102047.28
135.4731,34.7165,135.4703,34.7143,15928117.96
135.4758,34.7165,135.473,34.7143,15372344.67
135.4785,34.7165,135.4758,34.7143,16357042.65
135.4813,34.7166,135.4785,34.7143,12352443.74
135.484,34.7166,135.4812,34.7143,13676137.47
135.4867,34.7166,135.484,34.7143,10210653.05
135.4895,34.7166,135.4867,34.7143,12651235.75
